season,team,conference,statName,statValue
2022,Auburn,SEC,fumblesRecovered,12
2022,Auburn,SEC,fumblesRecoveredOpponent,17
2022,Auburn,SEC,games,12
2022,Auburn,SEC,interceptions,12
2022,Auburn,SEC,interceptionsOpponent,6
2022,Auburn,SEC,interceptionTDs,1
2022,Auburn,SEC,interceptionTDsOpponent,0
2022,Auburn,SEC,interceptionYards,60
2022,Auburn,SEC,interceptionYardsOpponent,81
2022,Auburn,SEC,kickReturns,24
2022,Auburn,SEC,kickReturnsOpponent,31
2022,Auburn,SEC,kickReturnTDs,0
2022,Auburn,SEC,kickReturnTDsOpponent,1
2022,Auburn,SEC,kickReturnYards,396
2022,Auburn,SEC,kickReturnYardsOpponent,694
2022,Auburn,SEC,netPassingYards,2072
2022,Auburn,SEC,netPassingYardsOpponent,2661
2022,Auburn,SEC,passAttempts,308
2022,Auburn,SEC,passAttemptsOpponent,411
2022,Auburn,SEC,passCompletions,159
2022,Auburn,SEC,passCompletionsOpponent,237
2022,Auburn,SEC,passesIntercepted,6
2022,Auburn,SEC,passesInterceptedOpponent,12
2022,Auburn,SEC,passingTDs,9
2022,Auburn,SEC,passingTDsOpponent,15
2022,Auburn,SEC,penalties,90
2022,Auburn,SEC,penaltiesOpponent,90
2022,Auburn,SEC,penaltyYards,688
2022,Auburn,SEC,penaltyYardsOpponent,694
2022,Auburn,SEC,possessionTime,21757
2022,Auburn,SEC,possessionTimeOpponent,21443
2022,Auburn,SEC,puntReturns,20
2022,Auburn,SEC,puntReturnsOpponent,11
2022,Auburn,SEC,puntReturnTDs,0
2022,Auburn,SEC,puntReturnTDsOpponent,0
2022,Auburn,SEC,puntReturnYards,170
2022,Auburn,SEC,puntReturnYardsOpponent,41
2022,Auburn,SEC,rushingAttempts,488
2022,Auburn,SEC,rushingAttemptsOpponent,448
2022,Auburn,SEC,rushingTDs,25
2022,Auburn,SEC,rushingTDsOpponent,28
2022,Auburn,SEC,rushingYards,2470
2022,Auburn,SEC,rushingYardsOpponent,2082
2022,Auburn,SEC,sacks,26
2022,Auburn,SEC,sacksOpponent,31
2022,Auburn,SEC,tacklesForLoss,62
2022,Auburn,SEC,tacklesForLossOpponent,80
2022,Auburn,SEC,thirdDownConversions,64
2022,Auburn,SEC,thirdDownConversionsOpponent,76
2022,Auburn,SEC,thirdDowns,178
2022,Auburn,SEC,thirdDownsOpponent,179
2022,Auburn,SEC,totalYards,4542
2022,Auburn,SEC,totalYardsOpponent,4743
2022,Auburn,SEC,turnovers,22
2022,Auburn,SEC,turnoversOpponent,13
2022,Florida,SEC,firstDowns,260
2022,Florida,SEC,firstDownsOpponent,296
2022,Florida,SEC,fourthDownConversions,15
2022,Florida,SEC,fourthDownConversionsOpponent,10
