gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock,season
401403857,4014038574,401403857101924701,4,4,Utah,Pac-12,7,Florida,SEC,0,Florida,Utah,1,"{'minutes': 7, 'seconds': 52}",3.0,3.0,82,82,4,8,0,False,Punt,"Jack Bouwmeester punt for 45 yds, fair catch by Xzavier Henderson at the Fla 37",,2022-09-03T23:30:03.000Z,2022
401403857,4014038574,401403857101915101,4,1,Utah,Pac-12,7,Florida,SEC,0,Florida,Utah,1,"{'minutes': 8, 'seconds': 48}",3.0,3.0,84,84,1,10,0,False,Rush,Micah Bernard run for no gain to the Utah 16,-0.46182849902011913,2022-09-03T23:28:15.000Z,2022
401403857,4014038574,401403857101915901,4,2,Utah,Pac-12,7,Florida,SEC,0,Florida,Utah,1,"{'minutes': 8, 'seconds': 40}",3.0,3.0,84,84,2,10,2,False,Rush,Tavion Thomas run for 2 yds to the Utah 18,-0.13715441731791245,2022-09-03T23:28:42.000Z,2022
401403857,4014038574,401403857101924001,4,3,Utah,Pac-12,7,Florida,SEC,0,Florida,Utah,1,"{'minutes': 7, 'seconds': 59}",3.0,3.0,82,82,3,8,0,False,Pass Incompletion,Cameron Rising pass incomplete to Brant Kuithe,-0.1318376833499606,2022-09-03T23:29:06.000Z,2022
401403857,4014038575,401403857101986901,5,14,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 1, 'seconds': 30}",3.0,3.0,81,19,3,5,3,False,Pass Reception,Anthony Richardson pass complete to Xzavier Henderson for 3 yds to the Utah 16,-0.179839240857943,2022-09-03T23:43:02.000Z,2022
401403857,4014038575,401403857101925801,5,2,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 7, 'seconds': 41}",3.0,3.0,37,63,2,10,-5,False,Penalty,"FLORIDA Penalty, False Start (Kingsley Eguakun) to the Fla 32",,2022-09-03T23:34:13.000Z,2022
401403857,4014038575,401403857101946302,5,6,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 5, 'seconds': 36}",3.0,3.0,50,50,2,7,-10,False,Penalty,"Richardson, Anthony pass incomplete to Henderson, Xzavier, PENALTY FLORIDA holding (Wright, Nay'Quan) 10 yards to the FLORIDA40, NO PLAY.",,2022-09-03T23:36:54.000Z,2022
401403857,4014038575,401403857101989001,5,15,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 1, 'seconds': 9}",2.0,3.0,84,16,4,2,0,False,Timeout,"Timeout FLORIDA, clock 01:09",,2022-09-03T23:43:12.000Z,2022
401403857,4014038575,401403857101934801,5,4,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 6, 'seconds': 51}",3.0,3.0,43,57,3,4,4,False,Rush,Anthony Richardson run for 4 yds to the Fla 47 for a 1ST down,1.7542240057220173,2022-09-03T23:35:52.000Z,2022
401403857,4014038575,401403857101938501,5,5,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 6, 'seconds': 14}",3.0,3.0,47,53,1,10,3,False,Rush,Nay'Quan Wright run for 3 yds to the 50 yard line,-0.4117922810157673,2022-09-03T23:36:13.000Z,2022
401403857,4014038575,401403857101996001,5,17,Florida,SEC,7,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 0, 'seconds': 39}",2.0,3.0,98,2,1,2,2,True,Rushing Touchdown,"Anthony Richardson run for 2 yds for a TD, (Adam Mihalek KICK)",1.213235297672098,2022-09-03T23:48:22.000Z,2022
401403857,4014038575,401403857101959901,5,9,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 4, 'seconds': 0}",3.0,3.0,65,35,1,10,5,False,Pass Reception,Anthony Richardson pass complete to Daejon Reynolds for 5 yds to the Utah 30,0.081604517220205,2022-09-03T23:39:29.000Z,2022
401403857,4014038575,401403857101964901,5,10,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 3, 'seconds': 50}",3.0,3.0,70,30,2,5,0,False,Pass Incompletion,Anthony Richardson pass incomplete to Daejon Reynolds,-0.7138311402228904,2022-09-03T23:39:37.000Z,2022
401403857,4014038575,401403857101989901,5,16,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 1, 'seconds': 0}",2.0,3.0,84,16,4,2,14,False,Pass Reception,Anthony Richardson pass complete to Montrell Johnson Jr. for 14 yds to the Utah 2 for a 1ST down,2.036903276997913,2022-09-03T23:47:47.000Z,2022
401403857,4014038575,401403857101969501,5,12,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 3, 'seconds': 4}",3.0,3.0,76,24,1,10,6,False,Rush,Montrell Johnson Jr. run for 6 yds to the Utah 18,0.193301563662509,2022-09-03T23:41:38.000Z,2022
401403857,4014038575,401403857101977501,5,13,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 2, 'seconds': 24}",3.0,3.0,82,18,2,4,-1,False,Rush,Montrell Johnson Jr. run for a loss of 1 yard to the Utah 19,-0.582162948867602,2022-09-03T23:41:47.000Z,2022
401403857,4014038575,401403857101947301,5,7,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 5, 'seconds': 26}",3.0,3.0,40,60,2,17,2,False,Rush,Nay'Quan Wright run for 2 yds to the Fla 42,-0.29989279363917287,2022-09-03T23:37:56.000Z,2022
401403857,4014038575,401403857101925701,5,1,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 7, 'seconds': 42}",3.0,3.0,37,63,1,10,0,False,Pass Incompletion,Anthony Richardson pass incomplete to Ricky Pearsall,-1.065701080215459,2022-09-03T23:33:31.000Z,2022
401403857,4014038575,401403857101926701,5,3,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 7, 'seconds': 32}",3.0,3.0,32,68,2,15,11,False,Pass Reception,Anthony Richardson pass complete to Xzavier Henderson for 11 yds to the Fla 43,0.957402903483433,2022-09-03T23:35:12.000Z,2022
401403857,4014038575,401403857101955401,5,8,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 4, 'seconds': 45}",3.0,3.0,42,58,3,15,23,False,Pass Reception,Anthony Richardson pass complete to Ricky Pearsall for 23 yds to the Utah 35 for a 1ST down,3.870733519176889,2022-09-03T23:38:56.000Z,2022
401403857,4014038575,401403857101965601,5,11,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 3, 'seconds': 43}",3.0,3.0,70,30,3,5,6,False,Rush,Montrell Johnson Jr. run for 6 yds to the Utah 24 for a 1ST down,0.9233774581726664,2022-09-03T23:40:45.000Z,2022
401403857,4014038576,401403857101996003,6,1,Florida,SEC,7,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 0, 'seconds': 39}",2.0,3.0,35,65,1,10,0,False,Kickoff,Adam Mihalek kickoff for 65 yds for a touchback,,2022-09-03T23:48:40.000Z,2022
401403857,4014038576,401403857101999902,6,4,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,1,"{'minutes': 0, 'seconds': 0}",3.0,2.0,68,68,0,3,0,False,End Period,End of 1st Quarter,,2022-09-03T23:51:43.000Z,2022
401403857,4014038576,401403857102897301,6,13,Utah,Pac-12,10,Florida,SEC,7,Florida,Utah,2,"{'minutes': 10, 'seconds': 26}",3.0,2.0,25,25,4,6,43,True,Field Goal Good,Jordan Noyes 43 yd FG GOOD,,2022-09-04T00:01:07.000Z,2022
401403857,4014038576,401403857101999901,6,3,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,1,"{'minutes': 0, 'seconds': 0}",3.0,2.0,68,68,2,3,5,False,Rush,Tavion Thomas run for 5 yds to the Utah 37 for a 1ST down,0.4226018660572333,2022-09-03T23:51:43.000Z,2022
401403857,4014038576,401403857102854401,6,5,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,2,"{'minutes': 14, 'seconds': 55}",3.0,2.0,63,63,1,10,7,False,Rush,Cameron Rising run for 7 yds to the Utah 44,0.7113806413121412,2022-09-03T23:55:17.000Z,2022
401403857,4014038576,401403857102868901,6,7,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,2,"{'minutes': 13, 'seconds': 10}",3.0,2.0,44,44,1,10,6,False,Rush,Tavion Thomas run for 6 yds to the Fla 38,0.295635896925372,2022-09-03T23:57:17.000Z,2022
401403857,4014038576,401403857102869701,6,8,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,2,"{'minutes': 13, 'seconds': 2}",3.0,2.0,38,38,2,4,2,False,Rush,Tavion Thomas run for 2 yds to the Fla 36,-0.5264159818055487,2022-09-03T23:57:27.000Z,2022
401403857,4014038576,401403857102876801,6,10,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,2,"{'minutes': 12, 'seconds': 31}",3.0,2.0,29,29,1,10,2,False,Rush,Tavion Thomas run for 2 yds to the Fla 27,-0.285086032247587,2022-09-03T23:58:31.000Z,2022
401403857,4014038576,401403857102885201,6,11,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,2,"{'minutes': 11, 'seconds': 47}",3.0,2.0,27,27,2,8,-1,False,Rush,Micah Bernard run for a loss of 1 yard to the Fla 28,-0.803448653771122,2022-09-03T23:58:42.000Z,2022
401403857,4014038576,401403857101996901,6,2,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,1,"{'minutes': 0, 'seconds': 30}",3.0,2.0,75,75,1,10,7,False,Pass Reception,Cameron Rising pass complete to Brant Kuithe for 7 yds to the Utah 32,0.604642460086338,2022-09-03T23:51:02.000Z,2022
401403857,4014038576,401403857102859901,6,6,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,2,"{'minutes': 14, 'seconds': 0}",3.0,2.0,56,56,2,3,12,False,Pass Reception,Cameron Rising pass complete to Brant Kuithe for 12 yds to the Fla 44 for a 1ST down,0.9262477947555877,2022-09-03T23:56:52.000Z,2022
401403857,4014038576,401403857102889901,6,12,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,2,"{'minutes': 11, 'seconds': 0}",3.0,2.0,28,28,3,9,3,False,Pass Reception,Cameron Rising pass complete to Micah Bernard for 3 yds to the Fla 25,-0.317423152091143,2022-09-04T00:00:55.000Z,2022
401403857,4014038576,401403857102875401,6,9,Utah,Pac-12,7,Florida,SEC,7,Florida,Utah,2,"{'minutes': 12, 'seconds': 45}",3.0,2.0,36,36,3,2,7,False,Rush,Tavion Thomas run for 7 yds to the Fla 29 for a 1ST down,0.855361257792086,2022-09-03T23:58:11.000Z,2022
401403857,4014038577,401403857102897302,7,1,Utah,Pac-12,10,Florida,SEC,7,Florida,Utah,2,"{'minutes': 10, 'seconds': 26}",3.0,2.0,65,65,4,6,19,False,Kickoff Return (Offense),"Jordan Noyes kickoff for 63 yds , Xzavier Henderson return for 19 yds to the FLORIDA 46 FLORIDA Penalty, Offensive Holding (Jordan Pouncey) to the Fla 11",,2022-09-04T00:04:49.000Z,2022
401403857,4014038577,401403857102924101,7,5,Florida,SEC,7,Utah,Pac-12,10,Florida,Utah,2,"{'minutes': 7, 'seconds': 58}",2.0,3.0,9,91,4,12,10,False,Punt,"Jeremy Crawshaw punt for 39 yds , Devaughn Vele returns for 10 yds to the Fla 38",,2022-09-04T00:08:09.000Z,2022
401403857,4014038577,401403857102907001,7,3,Florida,SEC,7,Utah,Pac-12,10,Florida,Utah,2,"{'minutes': 9, 'seconds': 29}",2.0,3.0,11,89,2,10,-2,False,Rush,Nay'Quan Wright run for a loss of 2 yards to the Fla 9,-0.19833545071522973,2022-09-04T00:05:56.000Z,2022
