id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,home_team,homeClassification,homeConference,home_points,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,away_team,awayClassification,awayConference,away_points,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,win,uf_points,opp_points,margin,location
401628353,2024,3,regular,2024-09-14T19:30:00.000Z,False,True,False,True,89993.0,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,20,"[0, 0, 14, 6]",0.0053889082303217,1497,1485,245,Texas A&M,fbs,SEC,33,"[10, 10, 13, 0]",0.9946110917696782,1677.0,1689.0,3.0084883856,,,0,20,33,-13,home
401628367,2024,4,regular,2024-09-21T16:00:00.000Z,False,True,False,True,49655.0,3693,Davis Wade Stadium,344,Mississippi State,fbs,SEC,28,"[7, 7, 7, 7]",0.1302734363712616,1386,1355,57,Florida,fbs,SEC,45,"[7, 21, 7, 10]",0.8697265636287383,1485.0,1516.0,3.9425420269,,,1,45,28,17,away
401628380,2024,6,regular,2024-10-05T23:45:00.000Z,False,True,False,False,90369.0,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,24,"[7, 17, 0, 0]",0.906511163279824,1516,1537,2116,UCF,fbs,Big 12,13,"[3, 0, 3, 7]",0.0934888367201759,1531.0,1510.0,3.6080238557,,,1,24,13,11,home
401628391,2024,7,regular,2024-10-12T23:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,23,"[0, 0, 10, 7, 6]",0.7931088508179842,1947,1936,57,Florida,fbs,SEC,17,"[3, 0, 7, 7, 0]",0.2068911491820158,1537.0,1548.0,7.2760140012,,,0,17,23,-6,away
401628393,2024,8,regular,2024-10-19T23:45:00.000Z,False,True,False,True,,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,48,"[3, 24, 7, 14]",0.9984042579380444,1548,1634,96,Kentucky,fbs,SEC,20,"[0, 13, 7, 0]",0.0015957420619555,1645.0,1559.0,4.47219541,,,1,48,20,28,home
401628408,2024,10,regular,2024-11-02T19:30:00.000Z,False,True,True,True,76307.0,3712,EverBank Stadium,61,Georgia,fbs,SEC,34,"[3, 3, 14, 14]",0.9697807568208444,2058,2057,57,Florida,fbs,SEC,20,"[0, 13, 0, 7]",0.0302192431791554,1634.0,1635.0,9.0550589741,,,0,20,34,-14,away
401628417,2024,11,regular,2024-11-09T17:00:00.000Z,False,True,False,True,103375.0,3910,DKR-Texas Memorial Stadium,251,Texas,fbs,SEC,49,"[14, 21, 7, 7]",0.9980931582450592,2057,2094,57,Florida,fbs,SEC,17,"[0, 0, 10, 7]",0.0019068417549408,1635.0,1598.0,2.8719110777,,,0,17,49,-32,away
401628420,2024,12,regular,2024-11-16T20:30:00.000Z,False,True,False,True,90067.0,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,27,"[7, 3, 3, 14]",0.8552429166497523,1598,1634,99,LSU,fbs,SEC,16,"[0, 10, 3, 3]",0.1447570833502477,1800.0,1764.0,7.8136556145,,,1,27,16,11,home
401628429,2024,13,regular,2024-11-23T17:00:00.000Z,False,True,False,True,89942.0,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,24,"[0, 14, 3, 7]",0.9088706931211736,1634,1667,145,Ole Miss,fbs,SEC,17,"[0, 14, 3, 0]",0.0911293068788262,2010.0,1977.0,8.5089973208,,,1,24,17,7,home
401628438,2024,14,regular,2024-12-01T00:00:00.000Z,False,True,False,False,55107.0,3697,Doak Campbell Stadium,52,Florida State,fbs,ACC,11,"[0, 0, 3, 8]",0.0294568708354047,1383,1363,57,Florida,fbs,SEC,31,"[7, 7, 3, 14]",0.9705431291645952,1667.0,1687.0,3.7815068548,,,1,31,11,20,away
401677084,2024,1,postseason,2024-12-20T20:30:00.000Z,False,True,True,False,41472.0,3886,Raymond James Stadium,57,Florida,fbs,SEC,33,"[3, 3, 10, 17]",0.9951515352137684,1687,1767,2655,Tulane,fbs,American Athletic,8,"[0, 0, 0, 8]",0.0048484647862316,1754.0,1674.0,4.8200118821,,Union Home Mortgage Gasparilla Bowl,1,33,8,25,home
