id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season,result_cat,scored,empty,quick_score,explosive
40140387124,401403871,Florida,SEC,Kentucky,SEC,24,False,4,20,80,"{'minutes': 6, 'seconds': 13}",4,24,76,"{'minutes': 4, 'seconds': 2}","{'minutes': 2, 'seconds': 11}",4,4,DOWNS,True,16,23,16,23,2022,turnover_downs,False,True,False,False
40140387126,401403871,Florida,SEC,Kentucky,SEC,26,False,4,25,75,"{'minutes': 1, 'seconds': 24}",4,46,54,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 24}",7,21,END OF GAME,True,16,26,16,26,2022,end_of_half,False,False,False,False
4014038832,401403883,Florida,SEC,South Florida,American Athletic,2,True,1,41,59,"{'minutes': 11, 'seconds': 56}",1,86,14,"{'minutes': 8, 'seconds': 12}","{'minutes': 3, 'seconds': 44}",8,45,FG,True,0,0,3,0,2022,field_goal,True,False,False,True
4014038834,401403883,Florida,SEC,South Florida,American Athletic,4,True,1,25,75,"{'minutes': 1, 'seconds': 21}",2,100,0,"{'minutes': 14, 'seconds': 49}","{'minutes': 1, 'seconds': 32}",3,75,TD,True,3,7,10,7,2022,touchdown,True,False,True,True
4014038836,401403883,Florida,SEC,South Florida,American Athletic,6,True,2,12,88,"{'minutes': 10, 'seconds': 45}",2,100,0,"{'minutes': 4, 'seconds': 45}","{'minutes': 6, 'seconds': 0}",12,88,TD,True,10,10,17,10,2022,touchdown,True,False,False,True
4014038839,401403883,Florida,SEC,South Florida,American Athletic,9,False,2,25,75,"{'minutes': 0, 'seconds': 10}",2,24,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 10}",1,-1,END OF HALF,True,24,13,24,13,2022,end_of_half,False,False,False,False
40140388310,401403883,Florida,SEC,South Florida,American Athletic,10,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,44,56,"{'minutes': 12, 'seconds': 1}","{'minutes': 2, 'seconds': 59}",6,19,INT,True,24,13,24,13,2022,other,False,False,False,False
40140388312,401403883,Florida,SEC,South Florida,American Athletic,12,False,3,25,75,"{'minutes': 10, 'seconds': 27}",3,26,74,"{'minutes': 8, 'seconds': 35}","{'minutes': 1, 'seconds': 52}",3,1,PUNT,True,24,21,24,29,2022,punt,False,True,False,False
40140388314,401403883,Florida,SEC,South Florida,American Athletic,14,False,3,13,87,"{'minutes': 4, 'seconds': 26}",3,17,83,"{'minutes': 2, 'seconds': 35}","{'minutes': 1, 'seconds': 51}",3,4,PUNT,True,24,21,24,21,2022,punt,False,True,False,False
40140388316,401403883,Florida,SEC,South Florida,American Athletic,16,False,4,25,75,"{'minutes': 11, 'seconds': 14}",4,95,5,"{'minutes': 7, 'seconds': 50}","{'minutes': 3, 'seconds': 24}",7,70,INT,True,24,28,24,28,2022,other,False,False,False,False
40140388318,401403883,Florida,SEC,South Florida,American Athletic,18,True,4,72,28,"{'minutes': 6, 'seconds': 51}",4,100,0,"{'minutes': 5, 'seconds': 5}","{'minutes': 1, 'seconds': 46}",4,28,TD,True,24,28,31,28,2022,touchdown,True,False,False,False
40140388320,401403883,Florida,SEC,South Florida,American Athletic,20,False,4,31,69,"{'minutes': 0, 'seconds': 23}",4,29,71,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 23}",2,-2,END OF GAME,True,31,28,31,28,2022,end_of_half,False,False,False,False
4014039011,401403901,Florida,SEC,Tennessee,SEC,1,False,1,84,84,"{'minutes': 15, 'seconds': 0}",1,20,20,"{'minutes': 9, 'seconds': 49}","{'minutes': 5, 'seconds': 11}",12,63,DOWNS,False,0,0,0,0,2022,turnover_downs,False,True,False,False
4014039013,401403901,Florida,SEC,Tennessee,SEC,3,False,1,88,88,"{'minutes': 7, 'seconds': 56}",1,34,34,"{'minutes': 4, 'seconds': 35}","{'minutes': 3, 'seconds': 21}",9,54,MISSED FG,False,0,0,0,0,2022,field_goal,True,False,False,True
4014039015,401403901,Florida,SEC,Tennessee,SEC,5,True,1,75,75,"{'minutes': 1, 'seconds': 11}",2,0,0,"{'minutes': 12, 'seconds': 41}","{'minutes': 3, 'seconds': 30}",8,75,TD,False,0,3,7,3,2022,touchdown,True,False,False,True
4014039017,401403901,Florida,SEC,Tennessee,SEC,7,True,2,75,75,"{'minutes': 11, 'seconds': 59}",2,0,0,"{'minutes': 8, 'seconds': 28}","{'minutes': 3, 'seconds': 31}",8,75,TD,False,7,10,14,10,2022,touchdown,True,False,False,True
4014039019,401403901,Florida,SEC,Tennessee,SEC,9,False,2,62,62,"{'minutes': 5, 'seconds': 13}",2,50,50,"{'minutes': 2, 'seconds': 50}","{'minutes': 2, 'seconds': 23}",6,12,PUNT,False,14,10,14,10,2022,punt,False,True,False,False
40140390111,401403901,Florida,SEC,Tennessee,SEC,11,False,2,70,70,"{'minutes': 0, 'seconds': 7}",2,70,70,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 7}",0,0,Uncategorized,False,14,17,14,17,2022,other,False,False,False,False
40140390113,401403901,Florida,SEC,Tennessee,SEC,13,True,3,75,75,"{'minutes': 12, 'seconds': 8}",3,0,0,"{'minutes': 5, 'seconds': 47}","{'minutes': 6, 'seconds': 21}",12,75,TD,False,14,24,21,24,2022,touchdown,True,False,False,True
40140390115,401403901,Florida,SEC,Tennessee,SEC,15,False,3,96,96,"{'minutes': 3, 'seconds': 58}",4,13,13,"{'minutes': 12, 'seconds': 34}","{'minutes': 6, 'seconds': 24}",13,83,FUMBLE,False,21,31,21,31,2022,turnover,False,True,False,False
40140390117,401403901,Florida,SEC,Tennessee,SEC,17,True,4,75,75,"{'minutes': 7, 'seconds': 55}",4,0,0,"{'minutes': 4, 'seconds': 49}","{'minutes': 3, 'seconds': 6}",10,75,TD,False,21,38,27,38,2022,touchdown,True,False,False,True
40140390119,401403901,Florida,SEC,Tennessee,SEC,19,True,4,71,71,"{'minutes': 1, 'seconds': 11}",4,0,0,"{'minutes': 0, 'seconds': 17}","{'minutes': 0, 'seconds': 54}",7,71,TD,False,27,38,33,38,2022,touchdown,True,False,False,True
40140390120,401403901,Florida,SEC,Tennessee,SEC,20,False,4,53,53,"{'minutes': 0, 'seconds': 17}",4,39,39,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 17}",3,14,INT,False,33,38,33,38,2022,other,False,False,False,False
4014039042,401403904,Florida,SEC,Eastern Washington,Big Sky,2,True,1,25,75,"{'minutes': 8, 'seconds': 4}",1,100,0,"{'minutes': 7, 'seconds': 53}","{'minutes': 0, 'seconds': 11}",1,75,TD,True,0,3,7,3,2022,touchdown,True,False,True,True
4014039044,401403904,Florida,SEC,Eastern Washington,Big Sky,4,True,1,18,82,"{'minutes': 3, 'seconds': 7}",1,100,0,"{'minutes': 1, 'seconds': 13}","{'minutes': 1, 'seconds': 54}",4,82,TD,True,7,3,14,3,2022,touchdown,True,False,False,True
4014039046,401403904,Florida,SEC,Eastern Washington,Big Sky,6,True,2,11,89,"{'minutes': 13, 'seconds': 44}",2,100,0,"{'minutes': 9, 'seconds': 22}","{'minutes': 4, 'seconds': 22}",10,89,TD,True,14,3,21,3,2022,touchdown,True,False,False,True
4014039048,401403904,Florida,SEC,Eastern Washington,Big Sky,8,True,2,24,76,"{'minutes': 6, 'seconds': 4}",2,100,0,"{'minutes': 5, 'seconds': 48}","{'minutes': 0, 'seconds': 16}",1,76,TD,True,28,3,28,3,2022,touchdown,True,False,True,True
40140390410,401403904,Florida,SEC,Eastern Washington,Big Sky,10,True,2,60,40,"{'minutes': 4, 'seconds': 49}",2,100,0,"{'minutes': 3, 'seconds': 2}","{'minutes': 1, 'seconds': 47}",4,40,TD,True,28,3,35,3,2022,touchdown,True,False,False,True
40140390412,401403904,Florida,SEC,Eastern Washington,Big Sky,12,False,2,23,77,"{'minutes': 0, 'seconds': 9}",2,21,79,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 9}",1,-2,END OF HALF,True,35,3,35,3,2022,end_of_half,False,False,False,False
40140390413,401403904,Florida,SEC,Eastern Washington,Big Sky,13,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,25,75,"{'minutes': 14, 'seconds': 52}","{'minutes': 0, 'seconds': 8}",1,0,INT,True,35,3,35,3,2022,other,False,False,False,False
40140390415,401403904,Florida,SEC,Eastern Washington,Big Sky,15,True,3,8,92,"{'minutes': 11, 'seconds': 34}",3,81,19,"{'minutes': 7, 'seconds': 47}","{'minutes': 3, 'seconds': 47}",7,73,FG,True,35,3,38,3,2022,field_goal,True,False,False,True
40140390417,401403904,Florida,SEC,Eastern Washington,Big Sky,17,True,3,29,71,"{'minutes': 5, 'seconds': 16}",3,100,0,"{'minutes': 4, 'seconds': 25}","{'minutes': 0, 'seconds': 51}",2,71,TD,True,38,3,45,3,2022,touchdown,True,False,True,True
40140390419,401403904,Florida,SEC,Eastern Washington,Big Sky,19,False,3,50,50,"{'minutes': 2, 'seconds': 52}",3,59,41,"{'minutes': 1, 'seconds': 54}","{'minutes': 0, 'seconds': 58}",4,9,DOWNS,True,45,3,45,3,2022,turnover_downs,False,True,False,False
40140390421,401403904,Florida,SEC,Eastern Washington,Big Sky,21,True,3,50,50,"{'minutes': 0, 'seconds': 37}",4,100,0,"{'minutes': 11, 'seconds': 53}","{'minutes': 3, 'seconds': 44}",6,50,TD,True,45,3,52,3,2022,touchdown,True,False,False,True
40140390423,401403904,Florida,SEC,Eastern Washington,Big Sky,23,False,4,25,75,"{'minutes': 8, 'seconds': 35}",4,71,29,"{'minutes': 6, 'seconds': 27}","{'minutes': 2, 'seconds': 8}",6,46,MISSED FG,True,52,10,52,10,2022,field_goal,True,False,False,True
