game_id,season,team,home_away,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,passesDeflected,qbHurries,sacks,tackles,defensiveTDs,tacklesForLoss,totalFumbles,fumblesRecovered,kickingPoints,passingTDs,puntReturns,puntReturnTDs,puntReturnYards,rushingTDs,kickReturns,kickReturnTDs,kickReturnYards,passesIntercepted,interceptionTDs,interceptionYards,third_down_pct,fourth_down_pct,win
401520352,2023,,home,16,4-11,0-2,339,230,25-34,6.8,109,25,4.4,2-17,1,1,0,26:31,3,3,0,27,0,4,2.0,0,2.0,2,,,,1,1.0,0.0,23.0,,,,0.36363636363636365,0.0,0
401628322,2024,,home,17,1-9,1-2,261,122,14-26,4.7,139,28,5.0,2-25,2,0,2,25:30,3,4,1,36,0,2,1.0,0,5.0,0,2.0,0.0,28.0,2,1.0,0.0,35.0,1.0,0.0,0.0,0.1111111111111111,0.5,0
401628393,2024,,home,16,6-12,0-0,476,279,8-15,18.6,197,44,4.5,4-40,1,0,1,30:04,6,9,1,31,1,3,,0,12.0,0,,,,5,3.0,0.0,62.0,3.0,1.0,81.0,0.5,,1
401628408,2024,,away,13,3-16,2-4,259,113,9-28,4.0,146,37,3.9,5-42,1,0,1,26:25,3,4,2,32,0,4,1.0,0,8.0,1,1.0,0.0,-1.0,1,2.0,0.0,34.0,3.0,0.0,62.0,0.1875,0.5,0
401628367,2024,,away,28,7-9,0-0,503,277,26-28,9.9,226,36,6.3,6-54,1,1,0,27:36,6,4,3,34,1,7,2.0,1,9.0,3,1.0,0.0,35.0,3,1.0,0.0,0.0,,,,0.7777777777777778,,1
401628380,2024,,home,18,6-13,1-1,359,229,23-28,8.2,130,32,4.1,8-64,0,0,0,32:16,3,0,5,30,0,7,1.0,0,6.0,1,,,,2,1.0,0.0,12.0,1.0,0.0,0.0,0.46153846153846156,1.0,1
401628391,2024,,away,22,5-15,0-2,361,223,20-32,7.0,138,40,3.5,6-36,2,1,1,34:56,2,1,3,35,0,8,2.0,1,5.0,2,2.0,0.0,57.0,0,,,,1.0,0.0,20.0,0.3333333333333333,0.0,0
401628417,2024,,away,20,6-14,0-0,329,132,12-25,5.3,197,41,4.8,4-35,3,1,2,32:06,1,1,1,35,0,3,1.0,1,5.0,0,,,,2,3.0,0.0,49.0,,,,0.42857142857142855,,0
401628353,2024,,home,19,2-9,1-2,301,249,18-29,8.6,52,25,2.1,7-65,3,0,3,22:14,1,4,0,45,0,2,1.0,0,2.0,2,,,,1,3.0,0.0,82.0,,,,0.2222222222222222,0.5,0
401628438,2024,,away,18,5-13,0-0,368,133,14-22,6.0,235,38,6.2,7-70,1,0,1,27:08,3,3,8,41,0,14,0.0,5,7.0,2,3.0,0.0,23.0,2,,,,,,,0.38461538461538464,,1
401628429,2024,,home,19,7-15,0-0,345,180,10-17,10.6,165,44,3.8,5-44,1,0,1,29:56,6,4,4,33,0,9,0.0,1,6.0,2,1.0,0.0,10.0,1,,,,2.0,0.0,0.0,0.4666666666666667,,1
401677084,2024,,home,26,6-16,2-1,529,305,22-35,8.7,224,44,5.1,9-95,2,0,2,38:57,3,4,1,41,0,4,1.0,0,15.0,1,1.0,0.0,0.0,2,,,,3.0,0.0,4.0,0.375,2.0,1
401628420,2024,,home,13,3-9,0-0,339,226,13-26,8.7,113,17,6.6,7-55,0,0,0,18:17,6,6,7,43,0,11,1.0,1,9.0,1,1.0,0.0,-2.0,2,,,,,,,0.3333333333333333,,1
401628338,2024,,home,21,5-11,1-3,632,466,19-28,16.6,166,34,4.9,7-77,1,1,0,26:30,5,6,4,38,0,12,1.0,1,9.0,3,3.0,0.0,37.0,3,1.0,0.0,31.0,,,,0.45454545454545453,0.3333333333333333,1
