gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock,season,decision
401403857,4014038575,401403857101959901,5,9,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 4, 'seconds': 0}",3.0,3.0,65,35,1,10,5,False,Pass Reception,Anthony Richardson pass complete to Daejon Reynolds for 5 yds to the Utah 30,0.081604517220205,2022-09-03T23:39:29.000Z,2022,go
401403857,4014038575,401403857101964901,5,10,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 3, 'seconds': 50}",3.0,3.0,70,30,2,5,0,False,Pass Incompletion,Anthony Richardson pass incomplete to Daejon Reynolds,-0.7138311402228904,2022-09-03T23:39:37.000Z,2022,go
401403857,4014038575,401403857101989901,5,16,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 1, 'seconds': 0}",2.0,3.0,84,16,4,2,14,False,Pass Reception,Anthony Richardson pass complete to Montrell Johnson Jr. for 14 yds to the Utah 2 for a 1ST down,2.036903276997913,2022-09-03T23:47:47.000Z,2022,go
401403857,4014038575,401403857101969501,5,12,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 3, 'seconds': 4}",3.0,3.0,76,24,1,10,6,False,Rush,Montrell Johnson Jr. run for 6 yds to the Utah 18,0.193301563662509,2022-09-03T23:41:38.000Z,2022,go
401403857,4014038575,401403857101977501,5,13,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 2, 'seconds': 24}",3.0,3.0,82,18,2,4,-1,False,Rush,Montrell Johnson Jr. run for a loss of 1 yard to the Utah 19,-0.582162948867602,2022-09-03T23:41:47.000Z,2022,go
401403857,4014038575,401403857101947301,5,7,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 5, 'seconds': 26}",3.0,3.0,40,60,2,17,2,False,Rush,Nay'Quan Wright run for 2 yds to the Fla 42,-0.2998927936391728,2022-09-03T23:37:56.000Z,2022,go
401403857,4014038575,401403857101925701,5,1,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 7, 'seconds': 42}",3.0,3.0,37,63,1,10,0,False,Pass Incompletion,Anthony Richardson pass incomplete to Ricky Pearsall,-1.065701080215459,2022-09-03T23:33:31.000Z,2022,go
401403857,4014038575,401403857101926701,5,3,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 7, 'seconds': 32}",3.0,3.0,32,68,2,15,11,False,Pass Reception,Anthony Richardson pass complete to Xzavier Henderson for 11 yds to the Fla 43,0.957402903483433,2022-09-03T23:35:12.000Z,2022,go
401403857,4014038575,401403857101955401,5,8,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 4, 'seconds': 45}",3.0,3.0,42,58,3,15,23,False,Pass Reception,Anthony Richardson pass complete to Ricky Pearsall for 23 yds to the Utah 35 for a 1ST down,3.870733519176889,2022-09-03T23:38:56.000Z,2022,go
401403857,4014038575,401403857101965601,5,11,Florida,SEC,0,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 3, 'seconds': 43}",3.0,3.0,70,30,3,5,6,False,Rush,Montrell Johnson Jr. run for 6 yds to the Utah 24 for a 1ST down,0.9233774581726664,2022-09-03T23:40:45.000Z,2022,go
401403857,4014038576,401403857101996003,6,1,Florida,SEC,7,Utah,Pac-12,7,Florida,Utah,1,"{'minutes': 0, 'seconds': 39}",2.0,3.0,35,65,1,10,0,False,Kickoff,Adam Mihalek kickoff for 65 yds for a touchback,,2022-09-03T23:48:40.000Z,2022,other
401403857,4014038577,401403857102924101,7,5,Florida,SEC,7,Utah,Pac-12,10,Florida,Utah,2,"{'minutes': 7, 'seconds': 58}",2.0,3.0,9,91,4,12,10,False,Punt,"Jeremy Crawshaw punt for 39 yds , Devaughn Vele returns for 10 yds to the Fla 38",,2022-09-04T00:08:09.000Z,2022,punt
401403857,4014038577,401403857102907001,7,3,Florida,SEC,7,Utah,Pac-12,10,Florida,Utah,2,"{'minutes': 9, 'seconds': 29}",2.0,3.0,11,89,2,10,-2,False,Rush,Nay'Quan Wright run for a loss of 2 yards to the Fla 9,-0.1983354507152297,2022-09-04T00:05:56.000Z,2022,go
401403857,4014038577,401403857102898901,7,2,Florida,SEC,7,Utah,Pac-12,10,Florida,Utah,2,"{'minutes': 10, 'seconds': 10}",2.0,3.0,11,89,1,10,0,False,Rush,Nay'Quan Wright run for no gain to the Fla 11,-0.365485783662665,2022-09-04T00:05:16.000Z,2022,go
401403857,4014038577,401403857102915801,7,4,Florida,SEC,7,Utah,Pac-12,10,Florida,Utah,2,"{'minutes': 8, 'seconds': 41}",2.0,3.0,9,91,3,12,0,False,Pass Reception,Anthony Richardson pass complete to Xzavier Henderson for no gain to the Fla 9,-0.0473288382155355,2022-09-04T00:06:44.000Z,2022,go
401403857,4014038579,401403857102977301,9,4,Florida,SEC,7,Utah,Pac-12,13,Florida,Utah,2,"{'minutes': 2, 'seconds': 26}",2.0,2.0,50,50,1,10,5,False,Rush,Montrell Johnson Jr. run for 5 yds to the Utah 45,0.1018198743557602,2022-09-04T00:26:30.000Z,2022,go
401403857,4014038579,401403857102985701,9,5,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,2,"{'minutes': 1, 'seconds': 42}",2.0,2.0,55,45,2,5,45,True,Rushing Touchdown,"Anthony Richardson run for 45 yds for a TD, (Adam Mihalek KICK)",3.7395920577656128,2022-09-04T00:27:29.000Z,2022,go
401403857,4014038579,401403857102969501,9,2,Florida,SEC,7,Utah,Pac-12,13,Florida,Utah,2,"{'minutes': 3, 'seconds': 4}",2.0,2.0,21,79,1,10,15,False,Pass Reception,Anthony Richardson pass complete to Xzavier Henderson for 15 yds to the Fla 36 for a 1ST down,1.1833421820418248,2022-09-04T00:25:38.000Z,2022,go
401403857,4014038579,401403857102975501,9,3,Florida,SEC,7,Utah,Pac-12,13,Florida,Utah,2,"{'minutes': 2, 'seconds': 44}",2.0,2.0,36,64,1,10,14,False,Pass Reception,Anthony Richardson pass complete to Ricky Pearsall for 14 yds to the 50 yard line for a 1ST down,1.305780675653958,2022-09-04T00:26:09.000Z,2022,go
401403857,40140385710,401403857102985703,10,1,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,2,"{'minutes': 1, 'seconds': 42}",2.0,2.0,35,65,2,5,0,False,Kickoff,Adam Mihalek kickoff for 65 yds for a touchback,,2022-09-04T00:29:00.000Z,2022,other
401403857,40140385711,401403857102999902,11,2,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,2,"{'minutes': 0, 'seconds': 0}",2.0,2.0,20,80,0,10,0,False,End of Half,End of 2nd Quarter,,2022-09-04T00:35:46.000Z,2022,other
401403857,40140385711,401403857102999901,11,1,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,2,"{'minutes': 0, 'seconds': 0}",2.0,2.0,20,80,1,10,5,False,Rush,Nay'Quan Wright run for 5 yds to the Fla 25,0.0855067756440384,2022-09-04T00:35:46.000Z,2022,go
401403857,40140385712,401403857103849901,12,1,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 15, 'seconds': 0}",3.0,3.0,35,65,1,10,18,False,Kickoff Return (Offense),"Adam Mihalek kickoff for 55 yds , Micah Bernard return for 18 yds to the Utah 28",,2022-09-04T00:56:54.000Z,2022,other
401403857,40140385713,401403857103948101,13,10,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 5, 'seconds': 18}",3.0,3.0,50,50,3,10,0,False,Pass Incompletion,Anthony Richardson pass incomplete to Justin Shorter,-0.7052334563220866,2022-09-04T01:14:53.000Z,2022,go
401403857,40140385713,401403857103937201,13,8,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 6, 'seconds': 27}",3.0,3.0,50,50,2,10,5,False,Rush,Anthony Richardson run for 5 yds to the Utah 45,0.0744071295691082,2022-09-04T01:13:13.000Z,2022,go
401403857,40140385713,401403857103909702,13,1,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 9, 'seconds': 2}",3.0,3.0,1,99,1,10,0,False,Penalty,"FLORIDA Penalty, False Start (Michael Tarquin) to the Fla 1",,2022-09-04T01:08:29.000Z,2022,other
401403857,40140385713,401403857103914401,13,2,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 8, 'seconds': 55}",3.0,3.0,1,99,1,10,15,False,Pass Reception,Anthony Richardson pass complete to Justin Shorter for 15 yds to the Fla 16 for a 1ST down,0.4123105246657346,2022-09-04T01:09:38.000Z,2022,go
401403857,40140385713,401403857103917401,13,3,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 8, 'seconds': 25}",3.0,3.0,16,84,1,10,17,False,Rush,Trevor Etienne run for 17 yds to the Fla 33 for a 1ST down,1.1503126580625258,2022-09-04T01:10:19.000Z,2022,go
401403857,40140385713,401403857103925201,13,4,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 7, 'seconds': 47}",3.0,3.0,33,67,1,10,0,False,Pass Incompletion,Anthony Richardson pass incomplete to Keon Zipperer,-0.956890163923906,2022-09-04T01:10:53.000Z,2022,go
401403857,40140385713,401403857103926301,13,5,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 7, 'seconds': 36}",3.0,3.0,33,67,2,10,7,False,Pass Reception,Anthony Richardson pass complete to Xzavier Henderson for 7 yds to the Fla 40,0.4332933531264275,2022-09-04T01:11:31.000Z,2022,go
401403857,40140385713,401403857103929501,13,6,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 7, 'seconds': 4}",3.0,3.0,40,60,3,3,10,False,Pass Reception,Anthony Richardson pass complete to Justin Shorter for 10 yds to the 50 yard line for a 1ST down,2.1112415478172544,2022-09-04T01:12:03.000Z,2022,go
401403857,40140385713,401403857103936001,13,7,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 6, 'seconds': 39}",3.0,3.0,50,50,1,10,0,False,Pass Incompletion,Anthony Richardson pass incomplete to Dante Zanders,-1.1143038065675126,2022-09-04T01:12:36.000Z,2022,go
401403857,40140385713,401403857103944701,13,9,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 5, 'seconds': 52}",3.0,3.0,55,45,3,5,-5,False,Penalty,"FLORIDA Penalty, False Start (-5 Yards) to the 50 yard line",,2022-09-04T01:14:04.000Z,2022,other
401403857,40140385713,401403857103948801,13,11,Florida,SEC,14,Utah,Pac-12,13,Florida,Utah,3,"{'minutes': 5, 'seconds': 11}",3.0,3.0,50,50,4,10,0,False,Punt,"Jeremy Crawshaw punt for 39 yds, fair catch by Devaughn Vele at the Utah 11",,2022-09-04T01:15:40.000Z,2022,punt
401403857,40140385715,401403857103999902,15,4,Florida,SEC,14,Utah,Pac-12,19,Florida,Utah,3,"{'minutes': 0, 'seconds': 0}",3.0,3.0,25,75,0,10,0,False,End Period,End of 3rd Quarter,,2022-09-04T01:34:01.000Z,2022,other
401403857,40140385715,401403857104854401,15,5,Florida,SEC,14,Utah,Pac-12,19,Florida,Utah,4,"{'minutes': 14, 'seconds': 55}",3.0,3.0,41,59,1,10,11,False,Rush,Montrell Johnson Jr. run for 11 yds to the Utah 48 for a 1ST down,0.9727785135184704,2022-09-04T01:37:17.000Z,2022,go
401403857,40140385715,401403857104866201,15,7,Florida,SEC,14,Utah,Pac-12,19,Florida,Utah,4,"{'minutes': 13, 'seconds': 37}",3.0,3.0,59,41,2,3,1,False,Rush,Montrell Johnson Jr. run for 1 yd to the Utah 40,-0.832121971652949,2022-09-04T01:38:52.000Z,2022,go
401403857,40140385715,401403857104867701,15,8,Florida,SEC,14,Utah,Pac-12,19,Florida,Utah,4,"{'minutes': 13, 'seconds': 22}",3.0,3.0,60,40,3,2,17,False,Rush,Montrell Johnson Jr. run for 17 yds to the Utah 23 for a 1ST down,1.2944967257894184,2022-09-04T01:39:12.000Z,2022,go
401403857,40140385715,401403857104869401,15,9,Florida,SEC,14,Utah,Pac-12,19,Florida,Utah,4,"{'minutes': 13, 'seconds': 5}",3.0,3.0,77,23,1,10,9,False,Rush,Anthony Richardson run for 9 yds to the Utah 14,0.6367847307431815,2022-09-04T01:39:24.000Z,2022,go
401403857,40140385715,401403857104875101,15,10,Florida,SEC,22,Utah,Pac-12,19,Florida,Utah,4,"{'minutes': 12, 'seconds': 48}",3.0,3.0,86,14,2,1,14,True,Rushing Touchdown,"Montrell Johnson Jr. run for 14 yds for a TD, (Anthony Richardson pass  to Ja'Quavion Fraziars for Two-Point Conversion)",2.027192947328047,2022-09-04T01:40:13.000Z,2022,go
401403857,40140385715,401403857104857202,15,6,Florida,SEC,14,Utah,Pac-12,19,Florida,Utah,4,"{'minutes': 14, 'seconds': 27}",3.0,3.0,52,48,1,10,7,False,Pass Reception,Anthony Richardson pass complete to Keon Zipperer for 7 yds to the Utah 41,0.559881404072259,2022-09-04T01:38:11.000Z,2022,go
401403857,40140385715,401403857103999001,15,2,Florida,SEC,14,Utah,Pac-12,19,Florida,Utah,3,"{'minutes': 0, 'seconds': 9}",3.0,3.0,25,75,1,10,0,False,Pass Incompletion,Anthony Richardson pass incomplete to Keon Zipperer,-0.7029700220436519,2022-09-04T01:32:45.000Z,2022,go
401403857,40140385715,401403857103999901,15,3,Florida,SEC,14,Utah,Pac-12,19,Florida,Utah,3,"{'minutes': 0, 'seconds': 0}",3.0,3.0,25,75,2,10,16,False,Pass Reception,Anthony Richardson pass complete to Ricky Pearsall for 16 yds to the Fla 41 for a 1ST down,2.121712791966546,2022-09-04T01:34:01.000Z,2022,go
401403857,40140385716,401403857104875103,16,1,Florida,SEC,22,Utah,Pac-12,19,Florida,Utah,4,"{'minutes': 12, 'seconds': 48}",3.0,3.0,35,65,2,1,17,False,Kickoff Return (Offense),"Adam Mihalek kickoff for 55 yds , Micah Bernard return for 17 yds to the Utah 27",,2022-09-04T01:44:43.000Z,2022,other
401403857,40140385717,401403857104967901,17,8,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 3, 'seconds': 20}",3.0,3.0,66,34,1,10,4,False,Rush,Trevor Etienne run for 4 yds to the Utah 30,-0.063267952570744,2022-09-04T02:03:30.000Z,2022,go
401403857,40140385717,401403857104984601,17,11,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 1, 'seconds': 53}",2.0,3.0,74,26,4,2,0,False,Timeout,"Timeout FLORIDA, clock 01:53",,2022-09-04T02:05:22.000Z,2022,other
401403857,40140385717,401403857104987401,17,16,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 1, 'seconds': 25}",2.0,2.0,99,1,2,0,0,False,Timeout,"Timeout UTAH, clock 01:25",,2022-09-04T02:10:36.000Z,2022,other
401403857,40140385717,401403857104946101,17,3,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 5, 'seconds': 38}",3.0,3.0,27,73,2,8,4,False,Rush,Nay'Quan Wright run for 4 yds to the Fla 31,-0.0821286042337394,2022-09-04T02:00:38.000Z,2022,go
401403857,40140385717,401403857104958401,17,6,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 4, 'seconds': 15}",3.0,3.0,38,62,2,8,7,False,Pass Reception,Anthony Richardson pass complete to Trevor Etienne for 7 yds to the Fla 45,0.5897118200313614,2022-09-04T02:02:19.000Z,2022,go
401403857,40140385717,401403857104968801,17,9,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 3, 'seconds': 11}",3.0,3.0,70,30,2,6,2,False,Rush,Montrell Johnson Jr. run for 2 yds to the Utah 28,-0.3792307040527926,2022-09-04T02:03:39.000Z,2022,go
401403857,40140385717,401403857104984501,17,10,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 1, 'seconds': 54}",3.0,3.0,72,28,3,4,2,False,Rush,Anthony Richardson run for 2 yds to the Utah 26,-0.4538654387692507,2022-09-04T02:05:14.000Z,2022,go
401403857,40140385717,401403857104986201,17,14,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 1, 'seconds': 37}",2.0,3.0,87,13,2,6,10,False,Rush,Montrell Johnson Jr. run for 10 yds to the Utah 3 for a 1ST down,1.1371866342138426,2022-09-04T02:10:20.000Z,2022,go
401403857,40140385717,401403857104987101,17,15,Florida,SEC,22,Utah,Pac-12,26,Florida,Utah,4,"{'minutes': 1, 'seconds': 28}",2.0,3.0,97,3,1,3,2,False,Rush,Montrell Johnson Jr. run for 2 yds to the Utah 1,-0.435900504741669,2022-09-04T02:10:30.000Z,2022,go
